pool,dt_seconds,w_ticks,n_windows,sigma_median,sigma_min,sigma_max,pin_empirical_median,pin_empirical_p10,pin_empirical_p90,pin_gaussian_median,delta_median,delta_p10,delta_p90,frac_windows_emp_exceeds_gauss
0x3f0296bf652e19bca772ec3df08b32732f93014a,2,200,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0x3f0296bf652e19bca772ec3df08b32732f93014a,2,500,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0x3f0296bf652e19bca772ec3df08b32732f93014a,2,1000,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0x3f0296bf652e19bca772ec3df08b32732f93014a,10,200,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.086957
0x3f0296bf652e19bca772ec3df08b32732f93014a,10,500,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0x3f0296bf652e19bca772ec3df08b32732f93014a,10,1000,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0x3f0296bf652e19bca772ec3df08b32732f93014a,30,200,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,0.999911,1.000000,1.000000,0.000000,-0.000089,0.000000,0.347826
0x3f0296bf652e19bca772ec3df08b32732f93014a,30,500,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0x3f0296bf652e19bca772ec3df08b32732f93014a,30,1000,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0x3f0296bf652e19bca772ec3df08b32732f93014a,60,200,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,0.999667,1.000000,1.000000,0.000000,-0.000043,0.000169,0.391304
0x3f0296bf652e19bca772ec3df08b32732f93014a,60,500,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.086957
0x3f0296bf652e19bca772ec3df08b32732f93014a,60,1000,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0x3f0296bf652e19bca772ec3df08b32732f93014a,120,200,23,2.111157e-04,7.415453e-05,4.717622e-04,0.999967,0.999256,1.000000,0.999999,0.000000,-0.000307,0.005692,0.565217
0x3f0296bf652e19bca772ec3df08b32732f93014a,120,500,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.347826
0x3f0296bf652e19bca772ec3df08b32732f93014a,120,1000,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0x3f0296bf652e19bca772ec3df08b32732f93014a,300,200,23,2.111157e-04,7.415453e-05,4.717622e-04,0.999653,0.992707,1.000000,0.998929,0.000072,-0.000006,0.055540,0.826087
0x3f0296bf652e19bca772ec3df08b32732f93014a,300,500,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,0.999987,1.000000,1.000000,0.000000,0.000000,0.000011,0.478261
0x3f0296bf652e19bca772ec3df08b32732f93014a,300,1000,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.086957
0x3f0296bf652e19bca772ec3df08b32732f93014a,600,200,23,2.111157e-04,7.415453e-05,4.717622e-04,0.998442,0.978018,1.000000,0.985999,0.008199,0.000001,0.134330,0.956522
0x3f0296bf652e19bca772ec3df08b32732f93014a,600,500,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,0.999347,1.000000,1.000000,0.000000,0.000000,0.000814,0.608696
0x3f0296bf652e19bca772ec3df08b32732f93014a,600,1000,23,2.111157e-04,7.415453e-05,4.717622e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.391304
0x3f0296bf652e19bca772ec3df08b32732f93014a,1800,200,23,2.111157e-04,7.415453e-05,4.717622e-04,0.980390,0.907501,0.999904,0.884061,0.086243,0.002543,0.274673,0.913043
